"","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"1","p01","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,7.666666667,6.5
"2","p02","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,7.666666667,6.5
"3","p03","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.555555556,3.444444444,7.333333333,6.5
"4","p04","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.555555556,3.444444444,7.333333333,6.5
"5","p05","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.444444444,7.333333333,6.5
"6","p06","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:09","Aceito",4,4,3,4,3,4,3,4,3,8,8,8,8,6,6,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.444444444,7.333333333,6.5
"7","p07","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,7.666666667,6.5
"8","p08","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:01","Aceito",4,4,4,4,3,4,3,4,3,8,8,8,8,7,7,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,7.666666667,6.5
"9","p09","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,6.833333333,6.5
"10","p10","stMale","male4stem",284.845,1620148152461,1620148437306,12,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.666666667,3.444444444,6.833333333,6.5
"11","p11","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:17",5,5,3,5,1,3,3,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"12","p12","stFemale","female4math",171.267,1620148877169,1620149048436,13,"5/4/21 14:21","Aceito",4,4,3,4,3,4,3,4,4,8,8,8,6,6,5,"5/4/21 14:25",5,5,3,3,1,3,5,3,3,8,8,8,8,4,3,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,3.444444444,6.833333333,6.5
"13","p13","stMale","male4enem",81.527,1619803138112,1619803219639,4,"4/30/21 14:18","Aceito",4,3,2,4,3,3,2,4,4,7,8,8,7,8,7,"4/30/21 14:22",3,4,3,3,2,3,4,2,3,8,7,6,8,7,7,"Pardo","Masculino","Classe Média","Carpi permbuco","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.222222222,3,7.5,7.166666667
"14","p14","default","",27.094,1620126554844,1620126581938,1,"5/4/21 8:09","Aceito",3,2,4,2,4,2,4,3,2,7,3,5,6,6,6,"5/4/21 8:10",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Negro","Feminino","Classe Média","","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",2.888888889,4,5.5,4
"15","p15","stFemale","female4trigemeas",458.785,1620149636907,1620150095692,14,"5/4/21 14:32","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"5/4/21 14:44",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Masculino","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,3.777777778,7.166666667,5.5
"16","p16","stFemale","female4trigemeas",458.785,1620149636907,1620150095692,14,"5/4/21 14:34","Aceito",5,4,4,4,4,4,3,3,5,8,8,8,8,8,3,"5/4/21 14:44",4,2,4,3,3,5,4,4,5,8,8,7,4,3,3,"Negro","Masculino","Classe Baixa","zaré da Mata","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,3.777777778,7.166666667,5.5
"17","p17","default","",290.597,1620149496614,1620149787211,12,"5/4/21 14:31","Aceito",5,5,5,4,4,5,5,3,5,8,8,8,8,8,8,"5/4/21 14:38",3,5,4,3,3,4,4,4,4,8,8,8,3,1,1,"Negro","Masculino","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.555555556,3.777777778,8,4.833333333
"18","p18","default","",169.277,1619809804544,1619809973821,15,"4/30/21 16:04","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"4/30/21 16:18",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.333333333,5,7.333333333,8
"19","p19","stMale","male4enem",283.557,1619809448424,1619809731981,14,"4/30/21 16:04","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"4/30/21 16:18",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.333333333,5,7.333333333,8
"20","p20","stFemale","female4trigemeas",270.65,1620149555186,1620149825836,16,"5/4/21 14:32","Aceito",4,3,2,4,3,3,1,2,4,7,6,7,5,7,6,"5/4/21 14:42",4,5,3,4,1,4,5,3,2,8,8,8,8,6,8,"Pardo","Masculino","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",2.888888889,3.444444444,6.333333333,7.666666667
"21","p21","default","",287.373,1620147109280,1620147396653,11,"5/4/21 13:51","Aceito",3,4,3,5,4,4,1,4,5,8,8,8,7,7,4,"5/4/21 13:59",2,5,4,5,5,4,5,3,4,8,3,2,8,1,8,"Amarelo","Masculino","Classe Baixa","lagoa do itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7,5
"22","p22","stFemale","female4math",190.557,1619811081811,1619811272368,11,"4/30/21 16:31","Aceito",4,4,5,5,5,5,4,5,4,8,8,8,8,5,5,"4/30/21 16:37",5,4,3,4,2,4,5,3,5,6,7,6,3,3,4,"Pardo","Feminino","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.555555556,3.888888889,7,4.833333333
"23","p23","stMale","male4enem",291.002,1620147223530,1620147514532,16,"5/4/21 13:54","Aceito",3,3,4,4,3,3,4,4,4,6,7,6,6,6,4,"5/4/21 14:03",3,5,4,3,3,4,4,3,4,7,5,7,6,5,6,"Pardo","Feminino","Classe Média","Feira Nova","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.555555556,3.666666667,5.833333333,6
"24","p24","stFemale","female4trigemeas",372.012,1619802991593,1619803363605,15,"4/30/21 14:16","Aceito",2,1,1,3,3,2,3,4,3,8,8,8,8,8,8,"4/30/21 14:27",5,1,2,3,4,5,3,2,5,8,8,7,8,1,6,"Branco","Feminino","Classe Média","Lagoa do Carro","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",2.444444444,3.333333333,8,6.333333333
"25","p25","default","",314.21,1619802968480,1619803282690,13,"4/30/21 14:16","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"4/30/21 14:22",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Masculino","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7.333333333,6.833333333
"26","p26","default","",314.21,1619802968480,1619803282690,13,"4/30/21 14:15","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"4/30/21 14:22",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Masculino","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.666666667,4.111111111,7.333333333,6.833333333
"27","p27","stMale","male4stem",110.507,1620146837215,1620146947722,4,"5/4/21 13:49","Aceito",5,1,5,5,5,5,5,5,5,8,8,1,8,8,1,"5/4/21 13:52",1,5,5,5,5,5,1,5,5,6,6,5,6,7,5,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.555555556,4.111111111,5.666666667,5.833333333
"28","p28","stMale","male4stem",110.507,1620146837215,1620146947722,4,"5/4/21 13:49","Aceito",5,1,5,5,5,5,5,5,5,8,8,1,8,8,1,"5/4/21 13:53",1,5,5,5,5,5,1,5,5,6,6,5,6,7,5,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.555555556,4.111111111,5.666666667,5.833333333
"29","p29","stMale","male4stem",110.507,1620146837215,1620146947722,4,"5/4/21 13:49","Aceito",5,1,5,5,5,5,5,5,5,8,8,1,8,8,1,"5/4/21 14:01",1,5,5,5,5,5,1,5,5,6,6,5,6,7,5,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.555555556,4.111111111,5.666666667,5.833333333
"30","p30","stFemale","female4trigemeas",405.027,1619809446974,1619809852001,15,"4/30/21 16:04","Aceito",5,3,3,4,3,3,5,5,5,8,8,8,7,8,8,"4/30/21 16:14",5,5,5,4,2,5,5,5,5,8,8,8,8,8,8,"Amarelo","Masculino","Classe Baixa","Lagoa De Itaenga","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4,4.555555556,7.833333333,8
"31","p31","stFemale","female4bolsas",247.075,1620147260144,1620147507219,12,"5/4/21 13:54","Aceito",4,3,2,4,3,3,2,2,4,5,4,3,5,4,3,"5/4/21 14:01",5,2,2,4,4,4,5,4,5,8,8,8,8,1,8,"Pardo","Feminino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,3.888888889,4,6.833333333
"32","p32","stMale","male4tpe",742.464,1620147744912,1620148487376,16,"5/4/21 14:02","Aceito",5,1,4,5,5,4,5,3,4,8,8,8,6,4,6,"5/4/21 14:24",4,1,5,1,1,5,4,4,5,8,8,8,8,8,8,"Branco","Masculino","Classe Baixa","carpi PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4,3.333333333,6.666666667,8
"33","p33","stMale","male4stem",121.314,1620147511893,1620147633207,1,"5/4/21 13:58","Aceito",2,1,5,5,5,2,3,2,5,7,8,8,8,1,7,"5/4/21 14:04",5,5,1,3,1,5,1,3,5,8,8,3,8,8,1,"Branco","Feminino","Classe Baixa","Carpi pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.333333333,3.222222222,6.5,6
"34","p34","stFemale","female4trigemeas",199.696,1620149442104,1620149641800,6,"5/4/21 14:30","Aceito",4,3,2,4,4,3,4,5,5,8,8,8,6,6,5,"5/4/21 14:36",3,4,2,2,5,3,2,3,3,8,8,6,7,6,7,"Branco","Masculino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.777777778,3,6.833333333,7
"35","p35","default","",265.217,1620151495115,1620151760332,14,"5/4/21 15:04","Aceito",3,3,3,5,4,3,2,2,3,8,8,8,8,8,7,"5/4/21 15:13",5,5,4,4,3,5,4,2,2,8,5,6,8,4,4,"Pardo","Feminino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.111111111,3.777777778,7.833333333,5.833333333
"36","p36","stFemale","female4math",75.487,1620048887416,1620048962903,7,"5/3/21 10:28","Aceito",3,3,3,3,3,3,3,3,3,6,6,6,7,8,8,"5/3/21 10:31",5,5,4,4,4,4,4,4,5,5,6,6,7,8,7,"Branco","Feminino","Classe Alta","capi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,4.333333333,6.833333333,6.5
"37","p37","stMale","male4stem",193.266,1620405819657,1620406012923,14,"5/7/21 13:43","Aceito",4,2,4,4,5,5,1,4,4,8,8,8,8,8,4,"5/7/21 13:57",5,5,4,5,4,3,4,3,5,8,8,8,8,3,6,"Pardo","Feminino","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.666666667,4.222222222,7.333333333,6.833333333
"38","p38","stMale","male4tpe",269.648,1619804000813,1619804270461,16,"4/30/21 14:31","Aceito",2,1,3,4,3,4,5,3,3,3,4,4,6,8,5,"4/30/21 14:46",4,1,3,3,4,4,4,4,4,8,8,5,8,6,8,"Pardo","Masculino","Classe Baixa","LAGOA DO CARRO","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.111111111,3.444444444,5,7.166666667
"39","p39","default","",358.679,1620157612216,1620157970895,11,"5/4/21 16:47","Aceito",3,1,4,4,5,4,1,3,4,8,8,8,8,6,7,"5/4/21 16:57",4,5,4,3,3,4,5,4,5,8,7,6,7,6,6,"Pardo","Masculino","Classe Média","Lagoa de Itaenga","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.222222222,4.111111111,7.5,6.666666667
"40","p40","stMale","male4tpe",199.381,1619805461402,1619805660783,15,"4/30/21 14:57","Aceito",5,3,5,5,4,3,4,5,5,5,5,7,6,6,8,"4/30/21 16:08",5,4,5,3,5,4,4,5,5,8,8,7,7,6,5,"Pardo","Masculino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.333333333,4.444444444,6.166666667,6.833333333
"41","p41","default","",272.729,1620146891206,1620147163935,15,"5/4/21 13:48","Aceito",3,2,3,4,4,3,2,3,5,8,8,8,8,5,7,"5/4/21 13:57",4,2,3,2,3,3,3,3,4,8,8,7,7,5,6,"Negro","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.222222222,3,7.333333333,6.833333333
"42","p42","stMale","male4tpe",135.498,1620147409337,1620147544835,10,"5/4/21 13:56","Aceito",4,4,5,4,5,4,3,5,4,8,8,8,8,7,2,"5/4/21 14:00",4,3,4,5,4,4,4,4,3,7,4,3,4,5,6,"Pardo","Feminino","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.222222222,3.888888889,6.833333333,4.833333333
"43","p43","default","",278.712,1620227798912,1620228077624,16,"5/5/21 12:16","Aceito",3,4,4,5,4,4,5,4,5,8,8,8,8,8,8,"5/5/21 12:25",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Negro","Feminino","Classe Média","Araçoiaba- PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.222222222,5,8,8
"44","p44","stMale","male4tpe",441.996,1620178776422,1620179218418,17,"5/4/21 22:39","Aceito",3,2,2,3,2,2,3,3,3,6,6,6,5,6,5,"5/4/21 22:52",4,5,4,4,2,2,3,3,2,8,8,7,7,6,6,"Pardo","Feminino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",2.555555556,3.222222222,5.666666667,7
"45","p45","stFemale","female4math",92.905,1620146951875,1620147044780,4,"5/4/21 13:49","Aceito",4,2,4,5,5,4,5,4,5,2,6,6,5,4,5,"5/4/21 13:52",4,4,3,2,4,5,4,3,2,4,7,6,8,7,6,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.222222222,3.444444444,4.666666667,6.333333333
"46","p46","stMale","male4stem",230.14,1620149378860,1620149609000,15,"5/4/21 14:29","Aceito",3,3,2,3,4,3,2,3,4,4,4,4,4,3,3,"5/4/21 14:35",3,2,3,2,3,3,2,4,4,3,1,3,2,3,3,"Indíge","Feminino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3,2.888888889,3.666666667,2.5
